127.0.0.1 - - [06/Mar/2024:11:20:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Mar/2024:11:20:36 +0530] "GET /ProductManagementApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:11:20:36 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:11:20:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Mar/2024:11:20:42 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 461142
0:0:0:0:0:0:0:1 - - [06/Mar/2024:11:22:40 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 461142
0:0:0:0:0:0:0:1 - - [06/Mar/2024:11:22:42 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 461142
0:0:0:0:0:0:0:1 - - [06/Mar/2024:11:22:47 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 461200
0:0:0:0:0:0:0:1 - - [06/Mar/2024:11:24:01 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 461253
0:0:0:0:0:0:0:1 - - [06/Mar/2024:11:24:45 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 461265
0:0:0:0:0:0:0:1 - - [06/Mar/2024:11:24:52 +0530] "GET /ProductManagementApp/add-product.html HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [06/Mar/2024:11:24:59 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 461265
0:0:0:0:0:0:0:1 - - [06/Mar/2024:11:25:07 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 461265
0:0:0:0:0:0:0:1 - - [06/Mar/2024:11:25:45 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 461265
